标题,室数,厅数,卫数,面积,朝向,楼层数,建造时间,小区,行政区,街道,门牌号,单价,总价
小高层可看湖，黄金楼层，诚心出售,3,2,1,86.7㎡,南北,中层(共22层),2018年建造,人信汇天誉,汉阳,王家湾,龙阳大道62号,15665元/㎡,136万
汉阳三环内双地铁单价14500精装交付准现房,3,2,2,98㎡,南,,,禹洲新希望雍禧兰台(新房),汉阳,四新,四新南路与新华园二路交汇处,12399元/㎡,122万
老证带车位，黄金楼层，诚心出售,3,2,2,114.97㎡,南北,高层(共45层),2018年建造,人信汇天誉,汉阳,王家湾,龙阳大道62号,14380元/㎡,165万
正南 3室2厅 精装修,3,2,2,111.71㎡,南,低层(共48层),2021年建造,东原启城(三四期),洪山,白沙洲,烽胜路,12579元/㎡,141万
满五唯一 南北通透 2室2厅,2,2,1,90.91㎡,南北,中层(共24层),1998年建造,武泰闸城市花园小区,武昌,武泰闸,白沙洲大道505号,11093元/㎡,101万
汉口二环一号线轻轨口千禧城旁国企现房单价1.3送车位20上车,2,2,1,86㎡,南北,,,武汉城建汉樾台,硚口,古田,古田四路与长安路交叉口西侧（湖北警官学院北区旁）,13937元/㎡,120万
真正的景观好房，动静结合，百胜青城一品165万元开售,3,2,1,94.62㎡,南,中层(共18层),2011年建造,百胜青城一品,洪山,欢乐谷,祥丰路85号,14415元/㎡,136万
正南 3室2厅 企业力荐好房诚意出售,3,2,1,94.74㎡,南,高层(共45层),2015年建造,国际百纳,江岸,后湖,中一路36号,15705元/㎡,149万
保利庭瑞阅江台滨江新品     3室2厅2卫 130m,3,2,2,130㎡,南,,,保利庭瑞阅江台·滨江新品,硚口,古田,琴台大道与玉龙路交汇处,16532元/㎡,215万
满五唯一 正南 3室2厅 精装修,3,2,2,106.04㎡,南,低层(共12层),2007年建造,保利心语(二期),洪山,新南湖,野芷湖西路3号,13782元/㎡,145万
满五唯一，带大露台，地铁口，天街旁，实验小学边，业主诚心出售,3,2,1,111.13㎡,南北,低层(共33层),2016年建造,清江锦城玺园,洪山,白沙洲,烽胜路55号,12869元/㎡,143万
汉阳主城区，黄金口地铁站，总高六楼的小高层洋房，58团购折扣,3,2,2,118㎡,南,,,天创黄金时代,汉阳,黄金口,地铁4号线黄金口站B出口东行约500米,9107元/㎡,107万
玫瑰湾二期 中高层精装三房两厅 户型方正采光好  洪山三小,3,2,2,123.17㎡,南,中层(共32层),2010年建造,泰然南湖玫瑰湾二期红玫苑,洪山,珞狮南路,苫风咀8号,13087元/㎡,161万
二环 吉售 一线看湖 索菲亚全屋定制  拎包入住,3,2,1,97㎡,南,高层(共44层),2020年建造,钰龙旭辉半岛四期礼园,汉阳,七里庙,百灵路33号,15339元/㎡,149万
三环边主城区单价9XXX，正地铁口 国企开发 配套齐全,4,2,2,128㎡,南,,,天创黄金时代,汉阳,黄金口,地铁4号线黄金口站B出口东行约500米,8396元/㎡,107万
白沙洲 地铁5号线 保利上城 精装3房 诚心出售,3,2,2,103.78㎡,南北,中层(共34层),2019年建造,保利上城西区,洪山,白沙洲,峰胜路20号,13541元/㎡,141万
关山 满五 精装修未入住三房 保利茉莉公馆 随时看,3,2,1,92.16㎡,南,低层(共34层),2015年建造,保利茉莉公馆,洪山,光谷广场,高新大道197号,21078元/㎡,194万
国博新城 95110平三房出售小高层公摊17,3,2,2,95㎡,南北,,,城投融创国博城,汉阳,四新,四新南路与鄂渚路交汇处,13661元/㎡,130万
保利花园毛坯两房 中间楼层满二 南北通透 采光好公摊低,2,2,1,84.98㎡,南北,高层(共11层),2006年建造,保利花园(东区),洪山,关山,光谷大道219号,17509元/㎡,149万
急售武广万松园老证东南朝向 中间楼层 户型方正 自住装修,3,2,1,115.71㎡,东南,高层(共28层),2003年建造,同成广场,江汉,新华路,建设大道538号,13217元/㎡,153万
老证 邻永旺近2号地铁 电梯小高层三房 南北通透 人车分流,3,2,2,132㎡,南北,低层(共32层),2014年建造,美联奥林匹克花园(一期),东西湖,常青花园,奥园西路2号,10332元/㎡,136万
地铁口70年别墅  送地下室花园  金地品质 得房率高,4,2,3,137㎡,南北,,,金地国际城,汉阳,黄金口,黄金口地铁站A出口西行200米处,9050元/㎡,124万
正南 2室2厅 精装修,2,2,1,93.09㎡,南,高层(共8层),2012年建造,武汉天地御江苑,江岸,永清街,永安路6号,47506元/㎡,442万
正南 3室1厅 精装修,3,1,1,86.58㎡,南,共5层,1998年建造,梨园小区,洪山,铁机路,徐东大街213号,14513元/㎡,126万
古田唯一自带幼儿园小学中学高端改善刚需精装现房,3,2,2,108㎡,南北,,,绿城华生桂语朝阳(新房),硚口,古田,园博大道与古田一路交汇处,13624元/㎡,147万
人信汇四期天誉房子南北通透，是老证，3房2卫送车位,3,2,2,114.97㎡,南,低层(共45层),2018年建造,人信汇天誉,汉阳,王家湾,龙阳大道62号,14308元/㎡,164万
（人气好房）王家湾地铁 繁华地段 次新小区 精装三房 老证,3,2,1,106.13㎡,南,中层(共31层),2017年建造,王家湾中央生活区,汉阳,王家湾,汉阳大道,13864元/㎡,147万
联投悦西湖湖景三大三房 格局创新 低公摊高使用,3,2,2,100㎡,南,,,联投悦西湖,洪山,光谷东,花山春和路白石美术馆旁50米,13804元/㎡,138万
正南 2室2厅 精装修,2,2,1,97.27㎡,南,高层(共20层),2003年建造,碧苑C区,青山,建设二路,建设三路16号,11728元/㎡,114万
比澳门山庄二期便宜十几万 单价9000的三房去哪里找,3,2,1,95.67㎡,南北,高层(共32层),2019年建造,富丽泊樾府,江夏,庙山,庙山街,7422元/㎡,70万
光谷主城区  地铁口  准现房,3,2,2,117.74㎡,南北,,,伟鹏硅谷小镇一期,洪山,光谷东,未来三路和科技三路交汇处,11093元/㎡,131万
保利香颂精致三房，二桥芳草一步到位，老证少税可看房，随时可看,3,2,2,110.43㎡,南北,高层(共33层),2019年建造,保利香颂,汉阳,升官渡,四新大道,14597元/㎡,161万
急售，急售，降价20万毛坯朝南三房，楼层好，采光好，看房方便,3,2,1,98.92㎡,南北,中层(共34层),2022年建造,中建星光城(二期),洪山,九峰山森林公园,光谷三路59号,14456元/㎡,143万
左岭地铁口硅谷小镇先仅11500最后五套,3,2,2,107㎡,南北,,,伟鹏硅谷小镇一期,洪山,光谷东,未来三路和科技三路交汇处,11124元/㎡,119万
2室2厅 满五 83平 电梯房 居家自住 保养好,2,2,1,83.19㎡,南北,低层(共33层),2016年建造,绿地中央广场B区,汉阳,四新,梅林西路,10831元/㎡,90万
（急出）地铁口，保利上城东区，精装三房，中间楼层,3,2,1,95.19㎡,南北,低层(共34层),2018年建造,保利上城东区,洪山,白沙洲,烽胜路20号,13547元/㎡,129万
满五唯一 正南 2室2厅 精装修,2,2,1,78.56㎡,南,低层(共32层),2009年建造,清江山水,洪山,光谷软件园,软件园中路10号,15573元/㎡,122万
总价110W 高层价格买别墅 送花园送地下室 送车位,2,2,2,123㎡,南北,,,中粮祥云地铁小镇(新房),蔡甸,蔡甸周边,蔡甸大街与西环路交汇处（地铁四号线新庙村站A出口）,10081元/㎡,124万
园林路双地铁 下楼就是公园 证已办可贷款 低公摊 得房率高,3,2,2,109.02㎡,南,中层(共32层),2019年建造,东湖雅庭,洪山,欢乐谷,仁和路,10995元/㎡,120万
东区电梯二房 看房有钥匙,2,2,1,86.03㎡,南北,高层(共10层),2006年建造,万科城市花园(上东区),江夏,东湖高新,大学园路1号,21619元/㎡,186万
汉阳  2环 一线临江 准现房 总价140万,2,2,1,82.29㎡,南,,,新港临江汇,汉阳,建港,晴川大道与芳洲路交汇处,14867元/㎡,122万
七里庙地铁口，纽宾凯公园里高端小区，精装三房，马上老证急卖,3,2,2,107.55㎡,南北,低层(共45层),2019年建造,纽宾凯公园里,汉阳,王家湾,赫山路,13604元/㎡,146万
正南 3室2厅 精装修,3,2,2,112.77㎡,南,中层(共34层),2016年建造,金地格林东郡,洪山,光谷软件园,纺织路10号,23383元/㎡,264万
满五  无抵押 四房 一手房东  好楼层钥匙在手,4,2,2,142.09㎡,南北,中层(共34层),2012年建造,保利华都,洪山,卓刀泉,虎泉街299号,23736元/㎡,337万
房源采光好，南北通透，业主诚意出,3,1,1,94.56㎡,南北,高层(共32层),2000年建造,龙城汇萃园,黄陂,盘龙城,腾龙大道,7431元/㎡,70万
91平 精装修 2室2厅 南北通透 满五  住房 楼层好 视,2,2,1,91.03㎡,南北,高层(共32层),2008年建造,金地中心城(西区),洪山,关西,雄楚大道908号,15256元/㎡,139万
泛悦城 120平三房 二次精装修 带车位 中间楼层 预约看房,3,2,2,119.96㎡,南北,低层(共58层),2019年建造,泛悦城,洪山,关山,关山大道,26530元/㎡,318万
轻轨沿线 美好名流汇二期毛坯3房 通透户型 证齐全 随时看房,3,2,2,111.79㎡,南北,中层(共33层),2019年建造,美好名流汇(二期),硚口,古田,解放大道48-8号,12940元/㎡,145万
保利清能西海岸 南北通透 精装三房 满二税少 随时看,3,2,1,89.66㎡,南北,低层(共27层),2016年建造,保利清能西海岸(北区),江夏,藏龙岛,杨桥湖大道22号,10603元/㎡,95万
江景房视野开阔，南北通透，业主诚意出售,3,2,1,97.39㎡,东南,高层(共32层),2018年建造,汉口御江澜庭,黄陂,武湖,发展路,8063元/㎡,79万
有钥匙老证 龙阳一号中高层楼层好看湖视野佳诚意出售,2,2,1,89.18㎡,南,中层(共33层),2015年建造,龙阳1号,汉阳,王家湾,芳草路88号,13069元/㎡,117万
满五   南北通透 3室2厅,3,2,2,104.62㎡,南北,低层(共28层),2015年建造,天纵水晶郦都,江夏,东湖高新,光谷一路,9877元/㎡,103万
越秀开发  朝南经典户型  老证税少  地铁8号线,2,2,1,91.1㎡,南北,低层(共32层),2016年建造,越秀星汇君泊一二期,江岸,后湖,塔子湖东路18号,15244元/㎡,139万
正南 3室2厅 精装修,3,2,1,93.3㎡,南,高层(共32层),2017年建造,中国铁建梧桐苑,江夏,金融港,民族大道324号,16391元/㎡,153万
万科自营 ，经典三房，88平 保养非常好，抢手户型,3,2,1,88.47㎡,南,低层(共34层),2012年建造,万科汉阳国际A区,汉阳,王家湾,康达街18号,14193元/㎡,125万
正南 2室2厅 企业力荐好房诚意出售,2,2,1,84㎡,南,中层(共18层),2004年建造,保利花园(东区),洪山,关山,光谷大道219号,17516元/㎡,147万
首地老证过户， 边户南北双阳台，随时看房,3,2,2,145.29㎡,南北,低层(共50层),2019年建造,首地云梦台,江岸,后湖,华岭路66号,13939元/㎡,203万
中一路地铁口，精装南北通透三房，送一间房面积，客厅带阳台,3,2,1,79.36㎡,南,中层(共32层),2015年建造,三元中央公园,江岸,后湖,后湖大道66号,15312元/㎡,122万
新城璟悦城 4房2卫 南北通透 精装修 12号线地铁口  旁,4,2,2,140.29㎡,南北,低层(共41层),2016年建造,新城璟悦城,汉阳,四新,四新中路,11490元/㎡,161万
正南 3室2厅 企业力荐好房诚意出售,3,2,1,108.52㎡,南,低层(共34层),2019年建造,喜瑞都,洪山,白沙洲,白沙三路,12797元/㎡,139万
5号地铁口 派克公馆 精装三室 楼层采光视野好,3,2,1,94.62㎡,南北,低层(共40层),2020年建造,绿地派克公馆,青山,和平大道,和平大道1650号,9960元/㎡,94万
三金华都 次新小区 正规复式 三房两卫 住宅带天然 随时看房,3,2,2,86.3㎡,南,高层(共29层),2011年建造,三金华都,江汉,新华路,新华路738号,15805元/㎡,136万
新奥依江畔园 精装修 满五 84平 2室1厅 楼层好 诚意卖,2,1,1,84.29㎡,南北,低层(共21层),2007年建造,新奥依江畔园,青山,红钢城,临江大道868号,12553元/㎡,106万
奥莱旁，地铁400米，盘龙湾全南户型，中层采光好,2,2,1,86.04㎡,南,中层(共33层),2016年建造,恒达盘龙湾荷苑,黄陂,盘龙城,盘龙大道48号,6918元/㎡,60万
精装修 保利香颂 南北通透 电梯房 采光好 周边商圈成熟,3,2,2,110.67㎡,南北,高层(共33层),2020年建造,保利香颂,汉阳,升官渡,四新大道,14192元/㎡,157万
大华 样板间装修。光线好 地段好 任中旁边,2,2,1,81.57㎡,南,高层(共34层),2017年建造,大华铂金郦府,青山,余家头,旅大街21号,15809元/㎡,129万
诚售 金科城 满二 中间楼层 通透毛坯大三房 价格可谈,3,2,2,113.41㎡,南北,中层(共48层),2018年建造,金科城,洪山,欢乐谷,仁和路98号,14942元/㎡,169万
菱角湖公园 高层看湖 三眼桥双地铁口 毛坯两房70年住宅,2,1,1,66.52㎡,南北,中层(共44层),2019年建造,万科金域时代,江汉,北湖,台北路295号,17149元/㎡,114万
115平 电梯房 满五 星悦城二期 3室2厅 南北通透 楼层,3,2,2,115.71㎡,南北,中层(共23层),2014年建造,星悦城二期,江岸,后湖,罗家嘴路28号,14645元/㎡,169万
军运村地铁站旁 南北通透三房直降拾伍万急甩,3,2,2,108.01㎡,南北,低层(共34层),2022年建造,武汉融创城,江夏,文化大道,黄家湖大道,9628元/㎡,103万
江汉大学 联投金色港湾 精装大三房 南北通透  性价比极高,3,2,2,123.31㎡,南北,中层(共33层),2017年建造,联投金色港湾,沌口开发区,江汉大学,博学路6号,12000元/㎡,148万
金地商圈 近地铁 复式楼 通透户型 两房朝南 精装 满五  ,4,2,1,96.43㎡,南,高层(共7层),2004年建造,金鹤园(北区),洪山,欢乐谷,祥丰路138号,8744元/㎡,84万
光谷东新城 璞樾门第109平206万 3000元装修标准,3,2,2,109.84㎡,南,低层(共33层),2022年建造,新城璞樾门第,洪山,光谷东,佛祖岭东街4号,15503元/㎡,170万
仁和路地铁旁   金地自在城   临东湖  三室带阳光房,3,2,1,88.97㎡,南,中层(共34层),2015年建造,金地自在城(东区K3),洪山,欢乐谷,丰园路5号,17188元/㎡,153万
朋友委托出售 满二精装 江南御景 三室两厅 税费少,3,2,1,93.01㎡,南,高层(共32层),2018年建造,铁投江南御景,青山,冶金大道,鄂州街5号,15376元/㎡,143万
3室1厅 地铁鑫城 电梯房 采光好 周边商圈成熟,3,1,1,88㎡,西南,低层(共32层),2016年建造,地铁鑫城,江岸,二七路,解放大道2007号,16157元/㎡,142万
新城璟棠 南北通透 3房 业主一天没住过全新房 看房方便,3,2,2,108.6㎡,南北,低层(共32层),2020年建造,新城璟棠,汉阳,四新,四新中路,14081元/㎡,153万
正南 2室2厅 企业力荐好房诚意出售,2,2,1,84.55㎡,南,高层(共32层),2012年建造,歌林花园,黄陂,盘龙城,巨龙大道159号,7333元/㎡,62万
正南 2室2厅 精装修,2,2,1,70.19㎡,南,低层(共48层),2020年建造,中海澳门佳园,江岸,江汉路,解放大道,26439元/㎡,185万
正南 3室2厅 精装修,3,2,1,89.84㎡,南,低层(共34层),2015年建造,中建开元公馆,青山,建设二路,建设二路11号,18310元/㎡,164万
满五   正南 3室2厅 精装修,3,2,1,92.96㎡,南,低层(共33层),2013年建造,保利心语(九期),洪山,新南湖,野芷湖南路5号,13330元/㎡,123万
万科汉阳国际精装两房 中间楼层 诚心出售,2,2,1,81.46㎡,南,低层(共34层),2014年建造,万科汉阳国际B区,汉阳,王家湾,康达街10号,12989元/㎡,106万
（真）满二 家电全送 新武昌旁 保利上城 精装三房来那个两卫,3,2,2,109.77㎡,南北,高层(共40层),2018年建造,保利上城西区,洪山,白沙洲,峰胜路20号,14384元/㎡,158万
7号线地铁口巡司河湿地公园旁东原晴天见毛坯三房业主诚心出售,3,2,1,86.73㎡,南北,中层(共45层),2016年建造,东原晴天见,洪山,新南湖,南湖小路28号,13915元/㎡,121万
新二环，保利上城西区，双卫正朝南，阔景阳台，满二,3,2,2,104㎡,南北,高层(共31层),2019年建造,保利上城西区,洪山,白沙洲,峰胜路20号,14069元/㎡,146万
88平160万急售 千禧城 毛坯好两房 南北通透 老证税少,2,2,1,88.65㎡,南北,中层(共47层),2017年建造,千禧城,硚口,古田,南泥湾大道106号,14919元/㎡,132万
105平 133万 2室2厅 南北通透 满五 青年广场采光好,2,2,1,105.58㎡,南北,中层(共28层),2000年建造,青年广场,江汉,万松园,青年路284号,10804元/㎡,114万
南北通透 2室2厅 精装修,2,2,2,95.55㎡,南北,中层(共7层),2002年建造,金梭花园,洪山,光谷广场,创业街59号,15140元/㎡,145万
古田三路轻轨旁的花园小区，电梯小高层一梯两户，南北通透采光好,3,2,2,129.63㎡,南北,中层(共11层),2006年建造,东方花城,硚口,古田,古田路67号,11287元/㎡,146万
万科品质 精装2房，老证 拎包入住 性价比高,2,2,1,64.69㎡,南,高层(共34层),2015年建造,万科金域蓝湾,沌口开发区,江汉大学,三角湖路8号,14312元/㎡,93万
长江新区 精装修电梯房 南北通透 楼层好 周边商圈成熟,2,2,1,85㎡,南北,中层(共29层),2018年建造,百隆东方城,黄陂,武湖,汉施公路,5835元/㎡,50万
正南 2室2厅 企业力荐好房诚意出售,2,2,1,89.11㎡,南,高层(共31层),2015年建造,花样年花郡(二期),洪山,欢乐谷,丰园路6号,15585元/㎡,139万
洪山区102平 金地西岸故事 精装修 采光好 周边商圈成熟,3,2,1,102.19㎡,南北,低层(共33层),2011年建造,金地西岸故事,洪山,珞狮南路,珞狮路254号,14156元/㎡,145万
满二 当代满庭春MOMA 3室2厅 南北通透 115平,3,2,2,115㎡,南北,高层(共32层),2019年建造,当代满庭春MOMA,新洲,阳逻开发区,风情大道10号,5032元/㎡,58万
170可卖 保利香槟国际 中间楼栋 电梯中层 随时看,3,2,1,90.64㎡,南北,中层(共33层),2013年建造,保利香槟国际,硚口,宗关,汉西一路49号,16498元/㎡,149万
新出 现代城四区   大三室（必看好房）紧邻永旺超市 双地铁,3,2,1,114.11㎡,南,低层(共32层),2008年建造,百步亭现代城四区,江岸,百步亭,百花一路38号,19559元/㎡,223万
南北通透 4室2厅 精装修,4,2,2,128.38㎡,南北,低层(共45层),2017年建造,江夏江南新天地,江夏,文化大道,文化大道36号,9015元/㎡,116万
江山樾 109平 3室2厅 南北通透 居家自住 保养好,3,2,2,109.4㎡,南北,高层(共31层),2014年建造,江山樾,硚口,古田,沿河大道626号,12468元/㎡,136万
正南 3室2厅 企业力荐好房诚意出售,3,2,1,96.29㎡,南,高层(共33层),2018年建造,前川欣城(二期),黄陂,前川,前川大道463号,7812元/㎡,75万
广信万汇城，精装婚房，中间楼层，诚心出售，万科物业。,3,2,1,97.3㎡,南,中层(共26层),2018年建造,广信万汇城,江夏,庙山,江夏大道14号,10959元/㎡,107万
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,130.18㎡,南北,低层(共31层),2018年建造,联投龙湾(三期),江夏,文化大道,武昌大道,7620元/㎡,99万
阳光花园 新湾五路 通透户型 2房2厅2卫 一梯2户 公摊小,2,2,2,91㎡,南北,中层(共7层),2004年建造,阳光花园(新湾五路),江汉,杨汊湖,新湾五路105号,15443元/㎡,141万
武湖地铁口 豪华装修 满五   单价低 随时可以看房,2,2,1,88.82㎡,南北,低层(共28层),2018年建造,百隆东方城,黄陂,武湖,汉施公路,6794元/㎡,60万
97平 电梯房 满二 精装修 美联(四期) 居家自住保养好,3,2,1,97.6㎡,南,中层(共33层),2015年建造,美联奥林匹克花园(四期),东西湖,常青花园,奥园西路3号,13433元/㎡,131万
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,118.19㎡,南北,高层(共33层),2012年建造,保利华都,洪山,卓刀泉,虎泉街299号,22240元/㎡,263万
带露台，阳光房！金色雅园二期，红领巾豪装3房，低楼层出售！,3,2,2,129.9㎡,南,低层(共7层),2003年建造,金色雅园金沙苑,江汉,常青,新湾二路16号,18454元/㎡,240万
急卖单价低 仁和路 星桥苑 金科城旁 精装大两房 视野无遮挡,2,2,1,100.11㎡,南北,中层(共7层),2001年建造,星桥苑小区,洪山,欢乐谷,友谊大道988号,9908元/㎡,99万
二环 唐家墩地铁口 次新房顶琇国际城  纯毛坯 老证 有钥匙,3,2,2,93.06㎡,南,高层(共48层),2017年建造,顶琇国际城,江汉,唐家墩,发展大道239号,15722元/㎡,146万
光谷青年城朝南100平好户型总价低随时看房,2,1,1,98.87㎡,南北,中层(共33层),2015年建造,光谷青年城(一期),洪山,关山,新竹路5号,8528元/㎡,84万
南北通透 3室2厅 精装修,3,2,1,111.82㎡,南北,高层(共7层),1997年建造,卓刀泉教师小区,洪山,卓刀泉,卓刀泉路99号,12937元/㎡,145万
天街旁 自带商圈 双轨交通  育才系  诚心出售,3,2,1,101.33㎡,南北,高层(共39层),2018年建造,福星惠誉榜样,江岸,百步亭,后湖大道328号,13868元/㎡,141万
南北通透 4室2厅 企业力荐好房诚意出售,4,2,2,159.14㎡,南北,中层(共6层),2021年建造,临空香廷,黄陂,盘龙城,城东路,6493元/㎡,103万
必看好房 福星华府东区 毛坯大三房 大兴实验 老证急售,3,2,2,124.09㎡,南北,高层(共45层),2011年建造,福星华府(东区),江汉,杨汊湖,新湾路23号,12590元/㎡,156万
3室2厅 企业力荐好房诚意出售,3,2,1,125.49㎡,东,低层(共11层),2006年建造,东湖名邸,武昌,东亭,东湖路,13503元/㎡,169万
满二  住房 毛坯房，房东诚心卖，看中可以谈,2,2,1,77.56㎡,南北,高层(共33层),2018年建造,东建金海湾,东西湖,吴家山,金北一路59号,7461元/㎡,58万
一梯两户 旁芳草和二桥    到3号线地铁 楼下公园安静舒适,2,2,1,83.93㎡,南,高层(共9层),2011年建造,南国明珠(三期),汉阳,王家湾,龙珠路,15758元/㎡,132万
保利阅江台K10地块，精装三房近地铁，房东亏本急卖，老证过户,3,2,2,109.5㎡,南北,低层(共24层),2019年建造,保利庭瑞阅江台,汉阳,郭茨口,琴台大道,12758元/㎡,140万
正南 3室2厅 精装修,3,2,1,99.74㎡,南,高层(共33层),2010年建造,金地中心城(西区),洪山,关西,雄楚大道908号,14089元/㎡,141万
南北通透 保利香颂 精装修 电梯房 106平 看房方便 有钥,3,2,2,106.12㎡,南北,低层(共18层),2018年建造,保利香颂,汉阳,升官渡,四新大道,15190元/㎡,161万
精装修 2室2厅 93平 电梯房 南北通透 采光好 周边商圈,2,2,1,93.66㎡,南北,中层(共32层),2016年建造,东西湖中心广场,东西湖,吴家山,东吴大道1248号,10150元/㎡,95万
155可以卖 王家湾中央生活区 106平 南北通透 采光好,3,2,1,106.5㎡,南北,高层(共30层),2017年建造,王家湾中央生活区,汉阳,王家湾,汉阳大道,12807元/㎡,136万
南北通透 3室2厅 精装修,3,2,2,124.9㎡,南北,中层(共34层),2015年建造,黄陂人信城,黄陂,前川,前川街188号,6949元/㎡,87万
3室2厅 光谷满庭春MOMA 105平 电梯房 满二 南北通,3,2,1,105.68㎡,南北,高层(共34层),2016年建造,光谷满庭春MOMA,洪山,光谷东,高新二路,14158元/㎡,150万
金银潭地铁口永旺旁 精装3室出售 楼层采光好 衣柜已定制,3,2,1,98.73㎡,南,高层(共26层),2019年建造,美联奥林匹克花园六期,东西湖,将军路,奥园东路,15071元/㎡,149万
联投金色港湾  南北通透 精装修 诚心出售,3,2,1,90.25㎡,南北,低层(共33层),2015年建造,联投金色港湾,沌口开发区,江汉大学,博学路6号,11724元/㎡,106万
正南 3室2厅 精装修,3,2,1,93.3㎡,南,中层(共32层),2017年建造,中国铁建梧桐苑,江夏,金融港,民族大道324号,15593元/㎡,145万
宗关 保利香槟国际 三房两厅两卫 房东急置换,3,2,2,120.15㎡,南北,高层(共30层),2015年建造,保利香槟国际,硚口,宗关,汉西一路49号,17544元/㎡,211万
小家碧玉舒适温馨 全朝南的  户型 视野开阔 老证 看房方便,2,2,1,87.31㎡,南,高层(共45层),2008年建造,福星惠誉福星城(南区),江汉,汉口火车站,常青一路2号,12782元/㎡,112万
一线江景房 精装修  配套齐全 楼下就是华师附小，环境好,3,2,1,92.18㎡,南北,中层(共34层),2015年建造,万科金色城市20地块,洪山,白沙洲,武金堤路,13003元/㎡,120万
满五   正南 2室2厅 精装修,2,2,1,84.23㎡,南,高层(共57层),2014年建造,世茂锦绣长江(4期),汉阳,鹦鹉,滨江大道192号,16193元/㎡,136万
107平 和美社区 3室2厅 南北通透 看房方便 有钥匙,3,2,1,107.78㎡,南北,中层(共8层),1995年建造,和美社区,江岸,台北香港路,台北路147号,12272元/㎡,132万
难得一见的光明上海  精装小户型 总价低，朝向好！,3,2,2,121.18㎡,南北,高层(共47层),2018年建造,光明上海府邸,汉阳,四新,四新北路319号,12278元/㎡,149万
范湖地铁 港信小区 大两室可改三室 业主诚意急售 价格可议,2,2,1,102.54㎡,南北,中层(共7层),2002年建造,港信小区,江汉,唐家墩,新华路389号,12011元/㎡,123万
急售捡漏 蓝光 带暖气精装三房 老证 拎包入住 看房预约,3,2,2,116.06㎡,南,低层(共40层),2017年建造,蓝光林肯公园,硚口,古田,长谊路,9971元/㎡,116万
电梯房 89平 满二 3室2厅 九坤新城壹号 精装修,2,2,1,89.69㎡,南北,高层(共33层),2016年建造,九坤新城壹号,东西湖,吴家山,三店西路,7558元/㎡,68万
正南 3室2厅 精装修,3,2,1,97.28㎡,南,中层(共17层),2018年建造,万润橄榄城,黄陂,盘龙城,宋岗一路1号,6373元/㎡,62万
电梯房 南北通透 92平 满二  住房 精装修 居家自住 保,3,2,1,92.61㎡,南北,低层(共45层),2017年建造,千禧城,硚口,古田,南泥湾大道106号,12943元/㎡,120万
汉口火车站旁 福星城南区 满五   精装修 中高楼层 采光好,3,2,1,96.8㎡,南北,高层(共32层),2008年建造,福星惠誉福星城(南区),江汉,汉口火车站,常青一路2号,14517元/㎡,141万
满五   南北通透 3室2厅,3,2,1,117.7㎡,南北,中层(共8层),1997年建造,卓刀泉教师小区,洪山,卓刀泉,卓刀泉路99号,13695元/㎡,161万
巨龙大道双地铁口，精装四房，送20平入户花园，证满五  ,4,2,2,154.1㎡,南北,低层(共18层),2012年建造,珩生领袖城,黄陂,盘龙城,盘龙大道,5472元/㎡,84万
一线湖景 中大水墨兰轩 上芳草和二桥 12号线地铁口 有钥匙,3,2,2,108.38㎡,南北,中层(共13层),2010年建造,中大水墨兰轩,汉阳,王家湾,芳草路66号,12890元/㎡,140万
保利香颂 户型南北通透 得房率高 视野采光好 周边商圈成熟,3,2,2,122.83㎡,南北,高层(共34层),2018年建造,保利香颂,汉阳,升官渡,四新大道,13460元/㎡,165万
产证满五  ，  楼层视野采光好，东边户，店长力荐精装三房。,3,2,2,117.46㎡,南,中层(共32层),2012年建造,保利心语(八期),洪山,新南湖,野芷湖西路10号,14427元/㎡,169万
捡漏 菩提苑 好楼层 采光充足 房东只带衣服走 随时看房,3,2,1,126.37㎡,南北,中层(共33层),2013年建造,菩提苑,江夏,文化大道,环湖路,9485元/㎡,120万
正南 2室1厅 企业力荐好房诚意出售,2,1,1,91.4㎡,南,中层(共7层),2005年建造,阳光花园(新湾五路),江汉,杨汊湖,新湾五路105号,14923元/㎡,136万
急售！满二省税！楼层好采光好！ 居家装修保养如新 送全部家私,3,2,1,91.09㎡,南北,高层(共27层),2016年建造,保利清能西海岸(北区),江夏,藏龙岛,杨桥湖大道22号,10436元/㎡,95万
汉口北轻轨旁 金寓 电梯房 61平 楼层好 视野无遮挡,2,2,1,61.84㎡,南北,中层(共18层),2014年建造,金寓,黄陂,汉口北,汉口北大道16号,2941元/㎡,18万
3室1厅 长宏公寓 满二 91平 采光好 对棋盘街小粮道街中,3,1,1,91.67㎡,南北,中层(共7层),2002年建造,长宏公寓,武昌,粮道街,涵三宫15-19号(单号),14427元/㎡,132万
万科城四期精装修，朝南大2房老证，中间楼层养护好,2,2,1,90.74㎡,北,中层(共23层),2014年建造,万科城,江汉,常青,常青路167号,15031元/㎡,136万
新南湖二环边精准三房诚心出售,3,2,1,102.22㎡,南北,低层(共33层),2011年建造,金地西岸故事,洪山,珞狮南路,珞狮路254号,14548元/㎡,148万
光谷广场地铁口 华乐山庄  三楼  朝南两房 鲁小卓中 急售,2,2,1,79.11㎡,南北,中层(共7层),2000年建造,华乐山庄,洪山,鲁巷,珞喻路716号,12435元/㎡,98万
